entry_time,exit_time,side,entry_price,exit_price,pnl,reason,system,held_bars
2025-08-05 06:40:00,,SHORT,23616.5,23602.0,290.0,target,VWAP Reversion,
2025-08-05 07:05:00,2025-08-05 07:15:00,LONG,23620.0,23612.41,-151.79,stop,Layer I,
2025-08-05 08:55:00,2025-08-05 09:20:00,SHORT,23562.25,23564.75,-50.0,signal_invalidated,Layer I,
2025-08-05 10:45:00,2025-08-05 11:45:00,SHORT,23610.25,23620.5,-205.0,real_dollar_stop,Z-Score MR v2,4.0
2025-08-05 10:50:00,,SHORT,23616.5,23604.25,245.0,target,VWAP Reversion,
2025-08-05 11:40:00,2025-08-05 11:45:00,SHORT,23604.25,23614.64,-207.86,stop,OTE+BOS,
2025-08-05 11:45:00,2025-08-05 11:50:00,LONG,23622.25,23611.82,-208.57,stop,Layer I,
2025-08-05 11:45:00,,SHORT,23622.25,23609.0,265.0,target,VWAP Reversion,
2025-08-05 12:10:00,2025-08-05 12:20:00,SHORT,23624.25,23586.25,760.0,reverted,Z-Score MR v2,2.0
2025-08-05 12:10:00,,SHORT,23624.25,23594.25,600.0,target,VWAP Reversion,
2025-08-05 14:10:00,,LONG,23550.0,23532.0,-360.0,stop,VWAP Reversion,
2025-08-05 14:15:00,2025-08-05 14:20:00,LONG,23532.0,23513.7,-366.07,real_dollar_stop,Z-Score MR v2,1.0
2025-08-05 14:20:00,,LONG,23512.75,23493.75,-380.0,stop,VWAP Reversion,
2025-08-05 14:25:00,2025-08-05 14:35:00,LONG,23493.75,23476.02,-354.64,real_dollar_stop,Z-Score MR v2,2.0
2025-08-05 14:30:00,,LONG,23487.75,23455.5,-645.0,stop,VWAP Reversion,
2025-08-05 14:40:00,,LONG,23414.5,23369.75,-895.0,stop,VWAP Reversion,
2025-08-05 14:40:00,2025-08-05 14:45:00,LONG,23414.5,23389.29,-504.29,real_dollar_stop,Z-Score MR v2,1.0
2025-08-05 14:50:00,,LONG,23380.5,23410.25,595.0,target,VWAP Reversion,
2025-08-05 14:50:00,2025-08-05 15:40:00,LONG,23380.5,23350.07,-608.57,real_dollar_stop,Z-Score MR v2,10.0
2025-08-05 15:00:00,,LONG,23429.75,23444.0,285.0,target,VWAP Reversion,
2025-08-05 15:25:00,,LONG,23387.75,23411.0,465.0,target,VWAP Reversion,
2025-08-05 15:50:00,,LONG,23371.0,23404.5,670.0,target,VWAP Reversion,
2025-08-05 16:05:00,,LONG,23407.5,23419.5,240.0,target,VWAP Reversion,
2025-08-05 16:20:00,,LONG,23427.5,23441.75,285.0,target,VWAP Reversion,
2025-08-05 16:35:00,,LONG,23421.25,23396.5,-495.0,stop,VWAP Reversion,
2025-08-05 16:45:00,,LONG,23371.25,23411.75,810.0,target,VWAP Reversion,
2025-08-05 16:55:00,,LONG,23404.75,23418.5,275.0,target,VWAP Reversion,
2025-08-05 17:20:00,,LONG,23416.5,23441.0,490.0,target,VWAP Reversion,
2025-08-05 17:30:00,,LONG,23435.75,23445.25,190.0,target,VWAP Reversion,
2025-08-05 17:40:00,,LONG,23447.25,23458.75,230.0,target,VWAP Reversion,
2025-08-05 18:00:00,,LONG,23458.25,23469.25,220.0,target,VWAP Reversion,
2025-08-05 18:15:00,,LONG,23425.0,23407.75,-345.0,stop,VWAP Reversion,
2025-08-05 18:35:00,,LONG,23392.75,23377.0,-315.0,stop,VWAP Reversion,
2025-08-05 18:55:00,,LONG,23354.5,23379.0,490.0,target,VWAP Reversion,
2025-08-05 18:55:00,2025-08-05 20:25:00,LONG,23354.5,23339.7,-296.07,real_dollar_stop,Z-Score MR v2,9.0
2025-08-05 19:15:00,,LONG,23380.75,23394.0,265.0,target,VWAP Reversion,
2025-08-05 19:50:00,,LONG,23374.25,23335.75,-770.0,stop,VWAP Reversion,
2025-08-05 20:30:00,,LONG,23321.25,23292.5,-575.0,stop,VWAP Reversion,
2025-08-05 20:30:00,2025-08-05 22:05:00,LONG,23321.25,23301.62,-392.5,real_dollar_stop,Z-Score MR v2,5.0
2025-08-05 22:10:00,,LONG,23280.75,23304.25,470.0,target,VWAP Reversion,
2025-08-05 22:10:00,2025-08-06 01:55:00,LONG,23280.75,23362.25,1630.0,reverted,Z-Score MR v2,11.0
2025-08-05 23:50:00,,LONG,23295.75,23317.5,435.0,target,VWAP Reversion,
2025-08-06 00:35:00,2025-08-06 01:30:00,SHORT,23310.5,23317.5,-140.0,signal_invalidated,Layer I,
2025-08-06 01:30:00,2025-08-06 01:55:00,LONG,23317.5,23357.58,801.6,target,OTE+BOS,
2025-08-06 02:10:00,2025-08-06 03:55:00,LONG,23362.25,23394.75,650.0,target,Layer I,
2025-08-06 02:25:00,,SHORT,23378.75,23375.0,75.0,target,VWAP Reversion,
2025-08-06 03:20:00,,SHORT,23393.0,23380.0,260.0,target,VWAP Reversion,
2025-08-06 03:55:00,,SHORT,23396.25,23415.0,-375.0,stop,VWAP Reversion,
2025-08-06 05:35:00,2025-08-06 08:05:00,LONG,23415.0,23447.5,650.0,target,Layer I,
2025-08-06 06:00:00,,SHORT,23416.0,23432.75,-335.0,stop,VWAP Reversion,
2025-08-06 07:20:00,,SHORT,23425.5,23454.5,-580.0,stop,VWAP Reversion,
2025-08-06 08:05:00,2025-08-06 09:40:00,SHORT,23454.5,23374.0,1610.0,reverted,Z-Score MR v2,7.0
2025-08-06 08:15:00,,SHORT,23428.25,23389.5,775.0,target,VWAP Reversion,
2025-08-06 10:05:00,2025-08-06 10:10:00,SHORT,23353.0,23367.02,-280.36,stop,Layer I,
2025-08-06 10:30:00,2025-08-06 11:00:00,SHORT,23364.5,23348.65,316.96,be_stop,Layer I,
2025-08-06 11:30:00,,SHORT,23421.0,23411.0,200.0,target,VWAP Reversion,
2025-08-06 13:15:00,,SHORT,23418.0,23401.75,325.0,target,VWAP Reversion,
2025-08-06 13:30:00,,SHORT,23438.0,23390.5,950.0,target,VWAP Reversion,
2025-08-06 13:45:00,,SHORT,23456.25,23435.25,420.0,target,VWAP Reversion,
2025-08-06 13:45:00,2025-08-06 14:00:00,SHORT,23456.25,23481.82,-511.43,real_dollar_stop,Z-Score MR v2,3.0
2025-08-06 14:00:00,,SHORT,23492.5,23460.0,650.0,target,VWAP Reversion,
2025-08-06 14:05:00,2025-08-06 14:30:00,SHORT,23500.0,23416.0,1680.0,reverted,Z-Score MR v2,5.0
2025-08-06 14:25:00,2025-08-06 15:20:00,LONG,23419.0,23538.71,2394.24,target,OTE+BOS,
2025-08-06 14:40:00,,SHORT,23469.0,23508.25,-785.0,stop,VWAP Reversion,
2025-08-06 14:50:00,2025-08-06 15:10:00,SHORT,23487.0,23518.43,-628.57,real_dollar_stop,Z-Score MR v2,4.0
2025-08-06 15:00:00,,SHORT,23496.5,23530.0,-670.0,stop,VWAP Reversion,
