entry_timestamp,symbol,side,entry_price,exit_price,qty,pnl,source,notes
2025-08-04 23:25:00+00:00,NQ,LONG,23551.5,23604.0,3,3138.0,backtest,FVG Rejection
2025-08-04 23:40:00+00:00,NQ,SHORT,23553.0,23560.25,3,-447.0,backtest,FVG Rejection
2025-08-05 00:00:00+00:00,NQ,SHORT,23551.75,23572.0,3,-1227.0,backtest,FVG Rejection
2025-08-05 00:50:00+00:00,NQ,LONG,23587.0,23548.0,3,-2352.0,backtest,FVG Rejection
2025-08-05 01:15:00+00:00,NQ,LONG,23578.0,23545.0,3,-1992.0,backtest,FVG Rejection
2025-08-05 01:35:00+00:00,NQ,SHORT,23573.0,23592.0,3,-1152.0,backtest,FVG Rejection
2025-08-05 01:50:00+00:00,NQ,SHORT,23580.0,23605.5,3,-1542.0,backtest,FVG Rejection
2025-08-05 02:00:00+00:00,NQ,SHORT,23568.25,23579.5,3,-687.0,backtest,FVG Rejection
2025-08-05 02:30:00+00:00,NQ,SHORT,23570.0,23585.0,3,-912.0,backtest,FVG Rejection
2025-08-05 02:30:00+00:00,NQ,LONG,23570.0,23600.0,3,1788.0,backtest,FVG Rejection
2025-08-05 03:35:00+00:00,NQ,LONG,23577.75,23568.0,3,-597.0,backtest,FVG Rejection
2025-08-05 03:55:00+00:00,NQ,LONG,23570.0,23603.75,3,2013.0,backtest,FVG Rejection
2025-08-05 03:55:00+00:00,NQ,LONG,23570.0,23616.25,3,2763.0,backtest,FVG Rejection
2025-08-05 04:30:00+00:00,NQ,SHORT,23577.0,23582.75,3,-357.0,backtest,FVG Rejection
2025-08-05 04:30:00+00:00,NQ,LONG,23577.0,23565.0,3,-732.0,backtest,FVG Rejection
2025-08-05 04:30:00+00:00,NQ,SHORT,23577.0,23587.25,3,-627.0,backtest,FVG Rejection
2025-08-05 07:15:00+00:00,NQ,LONG,23602.0,23589.75,3,-747.0,backtest,FVG Rejection
2025-08-05 07:15:00+00:00,NQ,LONG,23602.0,23585.25,3,-1017.0,backtest,FVG Rejection
2025-08-05 07:20:00+00:00,NQ,LONG,23591.5,23584.75,3,-417.0,backtest,FVG Rejection
2025-08-05 07:25:00+00:00,NQ,LONG,23585.5,23576.25,3,-567.0,backtest,FVG Rejection
2025-08-05 07:25:00+00:00,NQ,LONG,23585.5,23572.0,3,-822.0,backtest,FVG Rejection
2025-08-05 07:30:00+00:00,NQ,LONG,23579.0,23562.5,3,-1002.0,backtest,FVG Rejection
2025-08-05 07:35:00+00:00,NQ,LONG,23573.75,23565.0,3,-537.0,backtest,FVG Rejection
2025-08-05 07:35:00+00:00,NQ,SHORT,23573.75,23580.0,3,-387.0,backtest,FVG Rejection
2025-08-05 07:45:00+00:00,NQ,SHORT,23562.25,23584.0,3,-1317.0,backtest,FVG Rejection
2025-08-05 07:45:00+00:00,NQ,SHORT,23562.25,23590.5,3,-1707.0,backtest,FVG Rejection
2025-08-05 08:00:00+00:00,NQ,SHORT,23563.25,23575.5,3,-747.0,backtest,FVG Rejection
2025-08-05 08:45:00+00:00,NQ,SHORT,23560.0,23569.25,3,-567.0,backtest,FVG Rejection
2025-08-05 09:00:00+00:00,NQ,LONG,23557.0,23540.75,3,-987.0,backtest,FVG Rejection
2025-08-05 09:20:00+00:00,NQ,SHORT,23564.75,23573.25,3,-522.0,backtest,FVG Rejection
2025-08-05 09:20:00+00:00,NQ,LONG,23564.75,23602.25,3,2238.0,backtest,FVG Rejection
2025-08-05 09:30:00+00:00,NQ,LONG,23567.0,23552.0,3,-912.0,backtest,FVG Rejection
2025-08-05 09:30:00+00:00,NQ,LONG,23567.0,23594.5,3,1638.0,backtest,FVG Rejection
2025-08-05 10:05:00+00:00,NQ,SHORT,23594.25,23623.0,3,-1737.0,backtest,FVG Rejection
2025-08-05 10:05:00+00:00,NQ,SHORT,23594.25,23607.0,3,-777.0,backtest,FVG Rejection
2025-08-05 10:40:00+00:00,NQ,SHORT,23602.25,23621.5,3,-1167.0,backtest,FVG Rejection
2025-08-05 11:40:00+00:00,NQ,LONG,23604.25,23597.25,3,-432.0,backtest,FVG Rejection
2025-08-05 11:40:00+00:00,NQ,LONG,23604.25,23589.25,3,-912.0,backtest,FVG Rejection
2025-08-05 11:50:00+00:00,NQ,SHORT,23609.0,23621.5,3,-762.0,backtest,FVG Rejection
2025-08-05 12:00:00+00:00,NQ,LONG,23612.0,23605.25,3,-417.0,backtest,FVG Rejection
2025-08-05 12:10:00+00:00,NQ,LONG,23624.25,23615.0,3,-567.0,backtest,FVG Rejection
2025-08-05 12:15:00+00:00,NQ,LONG,23594.25,23562.0,3,-1947.0,backtest,FVG Rejection
2025-08-05 12:15:00+00:00,NQ,LONG,23594.25,23559.75,3,-2082.0,backtest,FVG Rejection
2025-08-05 12:20:00+00:00,NQ,SHORT,23586.25,23596.5,3,-627.0,backtest,FVG Rejection
