strategy,entry_time,exit_time,side,entry_price,stop_price,target_price,exit_reason,pnl_points,pnl_dollars_1x,result,entry_price_nq,exit_price_nq,entry_price_es,exit_price_es,hedge_ratio,pnl_dollars_3x,pnl_dollars_5x
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 04:30:00+00:00,,SHORT,23577.0,23582.75,23570.1,,,-119.0,LOSS,,,,,,-357.0,-595.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 04:30:00+00:00,,LONG,23577.0,23565.0,23591.4,,,284.0,WIN,,,,,,852.0,1420.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:15:00+00:00,,LONG,23602.0,23585.25,23622.1,,,-339.0,LOSS,,,,,,-1017.0,-1695.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:15:00+00:00,,LONG,23602.0,23589.75,23616.7,,,-249.0,LOSS,,,,,,-747.0,-1245.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:20:00+00:00,,LONG,23591.5,23584.75,23599.6,,,-139.0,LOSS,,,,,,-417.0,-695.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:25:00+00:00,,LONG,23585.5,23572.0,23601.7,,,-274.0,LOSS,,,,,,-822.0,-1370.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:25:00+00:00,,LONG,23585.5,23576.25,23596.6,,,-189.0,LOSS,,,,,,-567.0,-945.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:30:00+00:00,,LONG,23579.0,23562.5,23598.8,,,-334.0,LOSS,,,,,,-1002.0,-1670.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:35:00+00:00,,SHORT,23573.75,23580.0,23566.25,,,-129.0,LOSS,,,,,,-387.0,-645.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:35:00+00:00,,LONG,23573.75,23565.0,23584.25,,,-179.0,LOSS,,,,,,-537.0,-895.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:45:00+00:00,,SHORT,23562.25,23584.0,23536.15,,,-439.0,LOSS,,,,,,-1317.0,-2195.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 07:45:00+00:00,,SHORT,23562.25,23590.5,23528.35,,,-569.0,LOSS,,,,,,-1707.0,-2845.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 08:00:00+00:00,,SHORT,23563.25,23575.5,23548.55,,,290.0,WIN,,,,,,870.0,1450.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 08:45:00+00:00,,SHORT,23560.0,23569.25,23548.9,,,-189.0,LOSS,,,,,,-567.0,-945.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 09:00:00+00:00,,LONG,23557.0,23540.75,23576.5,,,386.0,WIN,,,,,,1158.0,1930.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 09:20:00+00:00,,SHORT,23564.75,23573.25,23554.55,,,-174.0,LOSS,,,,,,-522.0,-870.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 09:20:00+00:00,,LONG,23564.75,23557.25,23573.75,,,176.0,WIN,,,,,,528.0,880.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 09:30:00+00:00,,LONG,23567.0,23561.5,23573.6,,,128.0,WIN,,,,,,384.0,640.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 09:30:00+00:00,,LONG,23567.0,23552.0,23585.0,,,356.0,WIN,,,,,,1068.0,1780.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 10:05:00+00:00,,SHORT,23594.25,23607.0,23578.95,,,-259.0,LOSS,,,,,,-777.0,-1295.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 10:05:00+00:00,,SHORT,23594.25,23623.0,23559.75,,,-579.0,LOSS,,,,,,-1737.0,-2895.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 10:40:00+00:00,,SHORT,23602.25,23621.5,23579.15,,,-389.0,LOSS,,,,,,-1167.0,-1945.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 11:40:00+00:00,,LONG,23604.25,23597.25,23612.65,,,164.0,WIN,,,,,,492.0,820.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 11:40:00+00:00,,LONG,23604.25,23589.25,23622.25,,,356.0,WIN,,,,,,1068.0,1780.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 11:50:00+00:00,,SHORT,23609.0,23621.5,23594.0,,,-254.0,LOSS,,,,,,-762.0,-1270.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 12:00:00+00:00,,LONG,23612.0,23605.25,23620.1,,,158.0,WIN,,,,,,474.0,790.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 12:10:00+00:00,,LONG,23624.25,23615.0,23635.35,,,-189.0,LOSS,,,,,,-567.0,-945.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 12:15:00+00:00,,LONG,23594.25,23562.0,23632.95,,,-649.0,LOSS,,,,,,-1947.0,-3245.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 12:15:00+00:00,,LONG,23594.25,23559.75,23635.65,,,-694.0,LOSS,,,,,,-2082.0,-3470.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 12:20:00+00:00,,SHORT,23586.25,23596.5,23573.95,,,-209.0,LOSS,,,,,,-627.0,-1045.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 12:45:00+00:00,,SHORT,23592.25,23620.0,23558.95,,,-559.0,LOSS,,,,,,-1677.0,-2795.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 13:10:00+00:00,,SHORT,23584.0,23595.0,23570.8,,,-224.0,LOSS,,,,,,-672.0,-1120.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 13:45:00+00:00,,LONG,23613.75,23602.75,23626.95,,,-224.0,LOSS,,,,,,-672.0,-1120.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 13:45:00+00:00,,SHORT,23613.75,23627.25,23597.55,,,320.0,WIN,,,,,,960.0,1600.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 13:45:00+00:00,,LONG,23613.75,23604.0,23625.45,,,-199.0,LOSS,,,,,,-597.0,-995.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 13:50:00+00:00,,SHORT,23609.0,23615.0,23601.8,,,140.0,WIN,,,,,,420.0,700.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 13:50:00+00:00,,LONG,23609.0,23579.0,23645.0,,,-604.0,LOSS,,,,,,-1812.0,-3020.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 14:00:00+00:00,,SHORT,23564.5,23573.75,23553.4,,,-189.0,LOSS,,,,,,-567.0,-945.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 14:10:00+00:00,,SHORT,23550.0,23565.0,23532.0,,,356.0,WIN,,,,,,1068.0,1780.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 14:10:00+00:00,,SHORT,23550.0,23605.25,23483.7,,,1322.0,WIN,,,,,,3966.0,6610.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 14:10:00+00:00,,SHORT,23550.0,23558.0,23540.4,,,188.0,WIN,,,,,,564.0,940.0
"FVG Rejection (1.2R, WR-optimized)",2025-08-05 14:25:00+00:00,,SHORT,23493.75,23555.0,23420.25,,,1466.0,WIN,,,,,,4398.0,7330.0
